,CATEGORIE,DATE,QUART,long,lat,Address,Neighborhood
7458,Vol dans / sur véhicule à moteur,2020-09-05,jour,-73.54999606417181,45.59099708108895,"5940, Avenue du Bocage, Anjou, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1M 1T4, Canada",
7459,Introduction,2020-09-05,soir,-73.6693290083979,45.43490399739052,"202, 6e Avenue, Vieux-Lachine, Arrondissement de Lachine, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8S 2C5, Canada",
7460,Introduction,2020-09-05,jour,-73.5828043334719,45.51682946635433,"97, Rue Rachel Ouest, Saint-Louis, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1W 2Y7, Canada",
7461,Vol dans / sur véhicule à moteur,2020-09-05,soir,-73.60210633979578,45.57208449235671,"4130, Rue Jarry Est, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1Z 3T5, Canada",
7462,Méfait,2020-09-05,soir,-73.63450979616678,45.53978441828405,"44, Rue Guizot Ouest, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2P 2M1, Canada",
7463,Méfait,2020-09-05,soir,-73.63450979616678,45.53978441828405,"44, Rue Guizot Ouest, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2P 2M1, Canada",
7464,Vol de véhicule à moteur,2020-09-05,jour,-73.54384966981203,45.55937292682729,"Hochelaga / Leclaire, Rue Hochelaga, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1V 3C6, Canada",
7465,Vol dans / sur véhicule à moteur,2020-09-05,soir,-73.80988727837122,45.472402894296295,"4225, Autoroute Félix-Leclerc, Pointe-Claire, Agglomération de Montréal, Montréal (06), Québec, H9P 1J3, Canada",
7466,Introduction,2020-09-05,jour,-73.56571937757194,45.52078027308519,"1003, Rue Sherbrooke Est, Parc-Lafontaine, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2L 1H8, Canada",
7467,Vol dans / sur véhicule à moteur,2020-09-05,jour,-73.57857757158807,45.50744777904458,"McGill University, Avenue du Parc, Saint-Louis, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2W 1S4, Canada",
7468,Méfait,2020-09-05,jour,-73.48961204873245,45.63802861752318,"8e Avenue, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1B 1P2, Canada",
7469,Vol dans / sur véhicule à moteur,2020-09-05,jour,-73.50724154381696,45.66968833179114,"3036, Boulevard de la Rousselière, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1A 1K6, Canada",
7470,Vol dans / sur véhicule à moteur,2020-09-05,jour,-73.82125766740032,45.49343688649406,"115, Rue Silverbirch, Dollard-Des-Ormeaux, Agglomération de Montréal, Montréal (06), Québec, H9A 2V5, Canada",
7471,Méfait,2020-09-05,jour,-73.48961204873245,45.63802861752318,"8e Avenue, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1B 1P2, Canada",
7472,Vol dans / sur véhicule à moteur,2020-09-05,nuit,-73.55302925640378,45.5118513855109,"755, Rue Berri, Vieux-Montréal, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2Y 1C8, Canada",
7473,Méfait,2020-09-05,soir,-73.60830045333512,45.59724648820739,"5845, Boulevard Couture, Grande-Prairie, Saint-Léonard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1R 2B6, Canada",
7474,Vol dans / sur véhicule à moteur,2020-09-05,jour,-73.6200444552668,45.49017706635874,"4550, Avenue Miller, Snowdon, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3Y 1K5, Canada",
7475,Vols qualifiés,2020-09-05,jour,-73.66657448173477,45.54569730018292,"Fleury / de l'Esplanade, Rue Fleury Ouest, Ahuntsic, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3L 1T5, Canada",
