Venue Category,Neighborhood,0
Historic Site,Sainte-Anne-de-Bellevue,1
Historic Site,Ville-Marie,2
Historic Site,Westmount,1
History Museum,Ville-Marie,1
Hockey Arena,Ahuntsic-Cartierville,1
Hockey Arena,Anjou,1
Hockey Arena,Beaconsfield,1
Hockey Arena,Cote Saint-Luc,1
Hockey Arena,L'ile-Bizard-Sainte-Genevieve,1
Hockey Arena,Mont-Royal,1
Hockey Arena,Montreal-Nord,1
Hockey Arena,Westmount,1
Hospital,Riviere-des-Prairies-Pointe-aux-Trembles,1
Hostel,Ville-Marie,1
Hotel,Baie-d'Urfe,1
Hotel,Cote Saint-Luc,1
Hotel,Dorval,6
Hotel,Mont-Royal,2
Hotel,Saint-Laurent,2
Hotel,Ville-Marie,3
Hotel,Westmount,2
Hotel Bar,Dorval,1
Ice Cream Shop,Ahuntsic-Cartierville,1
Ice Cream Shop,Cote Saint-Luc,1
Ice Cream Shop,Cote-des-Neiges-Notre-Dame-de-Grace,2
Ice Cream Shop,Dorval,1
Ice Cream Shop,Kirkland,2
Ice Cream Shop,LaSalle,1
Ice Cream Shop,Lachine,2
Ice Cream Shop,Mercier-Hochelaga-Maisonneuve,2
Ice Cream Shop,Mont-Royal,1
Ice Cream Shop,Montreal-Nord,2
Ice Cream Shop,Outremont,2
Ice Cream Shop,Pierrefonds-Roxboro,2
Ice Cream Shop,Rosemont-La Petite-Patrie,2
Ice Cream Shop,Saint-Leonard,2
Ice Cream Shop,Sainte-Anne-de-Bellevue,1
Ice Cream Shop,Southwest,1
Ice Cream Shop,Verdun,2
Ice Cream Shop,Villeray-Saint-Michel-Parc-Extension,1
Ice Cream Shop,Westmount,3
Indian Restaurant,Ahuntsic-Cartierville,1
Indian Restaurant,Cote Saint-Luc,1
Indian Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,5
Indian Restaurant,LaSalle,1
Indian Restaurant,Montreal-Est,1
Indian Restaurant,Outremont,1
Indian Restaurant,Pierrefonds-Roxboro,4
Indian Restaurant,Pointe-Claire,1
Indian Restaurant,Sainte-Anne-de-Bellevue,1
Indian Restaurant,Southwest,1
Indian Restaurant,Verdun,2
Indie Movie Theater,Mont-Royal,1
Indie Movie Theater,Rosemont-La Petite-Patrie,1
Indie Movie Theater,Villeray-Saint-Michel-Parc-Extension,1
Indonesian Restaurant,Outremont,1
Intersection,Cote Saint-Luc,1
Irish Pub,Mercier-Hochelaga-Maisonneuve,1
Island,L'ile-Bizard-Sainte-Genevieve,1
Island,Pierrefonds-Roxboro,1
Italian Restaurant,Ahuntsic-Cartierville,1
Italian Restaurant,Anjou,3
Italian Restaurant,Baie-d'Urfe,1
Italian Restaurant,Beaconsfield,5
Italian Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,1
Italian Restaurant,Dorval,4
Italian Restaurant,Kirkland,6
Italian Restaurant,LaSalle,3
Italian Restaurant,Lachine,4
Italian Restaurant,Montreal-Est,1
Italian Restaurant,Montreal-Nord,3
Italian Restaurant,Outremont,2
Italian Restaurant,Pierrefonds-Roxboro,2
Italian Restaurant,Pointe-Claire,6
