,CATEGORIE,long,lat,Address,Neighborhood
758,Méfait,-73.57441214782467,45.563182759577906,"4294, Rue de Bellechasse, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1X 1J5, Canada",
759,Introduction,-73.6050190509759,45.51902695312935,"1185, Avenue Saint-Viateur, Outremont, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2V 3R9, Canada",
760,Vol de véhicule à moteur,-73.57770777346768,45.4929088288481,"1201, Rue Saint-Mathieu, Montagne, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3H 2P4, Canada",
761,Vol de véhicule à moteur,-73.60043552711696,45.569863886576776,"7870, Boulevard Pie-IX, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2A 2H9, Canada",
762,Introduction,-73.63354689225787,45.5982140745621,"11317, Avenue Éthier, Montreal-Nord-Centre, Montréal-Nord, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1H 1V2, Canada",
763,Introduction,-73.57384534270615,45.51511973836126,"3689, Rue Saint-Dominique, Saint-Louis, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X 2X7, Canada",
764,Introduction,-73.5592807053652,45.52200310617243,"1348, Rue La Fontaine, Village gai, Sainte-Marie, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2L 3H4, Canada",
765,Vol dans / sur véhicule à moteur,-73.67592734553811,45.44495438268297,"799, 13e Avenue, Vieux-Lachine, Arrondissement de Lachine, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8S, Canada",
766,Méfait,-73.56898605489101,45.5135390466664,"2141, Rue Saint-Dominique, Quartier des Spectacles, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X 1G8, Canada",
767,Introduction,-73.56171986480224,45.509552729824925,"1185, Rue Saint-Dominique, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X1K3, Canada",
768,Méfait,-73.70425073269075,45.49724608015938,"3105, Boulevard de la Côte-Vertu, Bois-Francs, Saint-Laurent, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4R 2X7, Canada",
769,Vol dans / sur véhicule à moteur,-73.87090500490173,45.45441760091716,"33, Rue Henri-Daoust, Kirkland, Agglomération de Montréal, Montréal (06), Québec, H9J3N1, Canada",
770,Vol dans / sur véhicule à moteur,-73.55202190209351,45.53490147051631,"2015, Rue Bercy, Sainte-Marie, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2K 2V6, Canada",
